threshold,precision,recall,fp_rate,iou,dice,tp,fp,tn,fn
0.05,0.5045806906272022,1.0,0.00017166086649912437,0.5045806906272022,0.6707259953161593,716,703,4094581,0
0.1,0.798216276477146,1.0,4.419717899906331e-05,0.798216276477146,0.8877867327960323,716,181,4095103,0
0.15,0.8403755868544601,1.0,3.320893007664426e-05,0.8403755868544601,0.9132653061224489,716,136,4095148,0
0.2,0.8523809523809524,1.0,3.0278730363999176e-05,0.8523809523809524,0.9203084832904884,716,124,4095160,0
0.25,0.8636911942098915,1.0,2.7592713960741184e-05,0.8636911942098915,0.9268608414239482,716,113,4095171,0
0.3,0.8742368742368742,1.0,2.515088086687028e-05,0.8742368742368742,0.9328990228013029,716,103,4095181,0
0.35,0.8794587945879458,0.9986033519553073,2.392996431993483e-05,0.8783783783783784,0.935251798561151,715,98,4095186,1
0.4,0.8904109589041096,0.9986033519553073,2.1488131226063932e-05,0.8893034825870647,0.9414088215931534,715,88,4095196,1
0.45,0.9073604060913706,0.9986033519553073,1.782538158525758e-05,0.9062103929024081,0.9507978723404256,715,73,4095211,1
0.5,0.9260700389105059,0.9972067039106145,1.3918448635064136e-05,0.9236739974126779,0.9603227975790182,714,57,4095227,2
