filename,path_1km,path_25m,model_b_max_prob,model_b_passed,model_a_max_prob,model_a_positive_pixels,model_a_min_positive_pixels,final_positive,label_1km_positive,label_25m_positive,status
patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19396_ignition_HWF002_20200427.npz,0.99300742,1,0.90296459,1,1,1,True,True,completed
patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19403_ignition_CWF005_20200501.npz,0.96983308,1,0.83742446,1,1,1,True,True,completed
patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19404_ignition_PWF005_20200315.npz,0.99999785,1,0.93221462,1,1,1,True,True,completed
patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19453_ignition_RWF011_20200505.npz,0.93732363,1,0.87374872,1,1,1,True,True,completed
patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19456_ignition_HWF008_20200506.npz,0.99277347,1,0.95056468,1,1,1,True,True,completed
patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19458_ignition_GWF010_20200506.npz,0.66424119,1,0.64845824,1,1,1,True,True,completed
patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19489_ignition_LWF010_20200115.npz,1.00000000,1,0.98662424,1,1,1,True,True,completed
patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19490_ignition_LWF054_20200507.npz,0.99859089,1,0.95437294,1,1,1,True,True,completed
patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19509_ignition_LWF018_20200429.npz,0.99999976,1,0.96326661,1,1,1,True,True,completed
patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19539_ignition_CWF020_20200518.npz,0.98402047,1,0.85463166,1,1,1,True,True,completed
patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19560_ignition_LWF044_20200505.npz,0.77735305,1,0.78336060,1,1,1,True,True,completed
patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19586_ignition_RWF026_20200520.npz,0.99877149,1,0.92725152,1,1,1,True,True,completed
patch_19618_ignition_RWF014_20200514.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19618_ignition_RWF014_20200514.npz,,0.23134473,0,,,1,0,True,,blocked_by_model_b
patch_19622_ignition_RWF017_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19622_ignition_RWF017_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19622_ignition_RWF017_20200515.npz,0.99615616,1,0.83566791,1,1,1,True,True,completed
patch_19624_ignition_CWF014_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19624_ignition_CWF014_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19624_ignition_CWF014_20200516.npz,0.98403835,1,0.80560350,1,1,1,True,True,completed
patch_19645_ignition_PWF022_20200611.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19645_ignition_PWF022_20200611.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19645_ignition_PWF022_20200611.npz,0.74151230,1,0.79139400,1,1,1,True,True,completed
patch_19666_ignition_PWF018_20200510.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19666_ignition_PWF018_20200510.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19666_ignition_PWF018_20200510.npz,0.51684397,1,0.81631929,1,1,1,True,True,completed
patch_19672_ignition_EWF016_20200519.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19672_ignition_EWF016_20200519.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19672_ignition_EWF016_20200519.npz,0.55994123,1,0.78280973,1,1,1,True,True,completed
patch_19743_ignition_CWF047_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19743_ignition_CWF047_20200507.npz,,0.20457304,0,,,1,0,True,,blocked_by_model_b
patch_19766_ignition_HWF023_20200612.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19766_ignition_HWF023_20200612.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19766_ignition_HWF023_20200612.npz,0.44124690,1,0.70700502,1,1,1,True,True,completed
patch_19770_ignition_MWF017_20200727.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19770_ignition_MWF017_20200727.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19770_ignition_MWF017_20200727.npz,0.99588305,1,0.94040084,1,1,1,True,True,completed
patch_19779_ignition_EWF037_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19779_ignition_EWF037_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19779_ignition_EWF037_20200806.npz,0.92736048,1,0.86582297,1,1,1,True,True,completed
patch_19799_ignition_WWF026_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19799_ignition_WWF026_20200806.npz,,0.27432999,0,,,1,0,True,,blocked_by_model_b
