filename,path_1km,path_25m,model_b_max_prob,model_b_passed,model_a_max_prob,model_a_positive_pixels,model_a_min_positive_pixels,final_positive,label_1km_positive,label_25m_positive,status
patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19396_ignition_HWF002_20200427.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19396_ignition_HWF002_20200427.npz,0.99768090,1,0.90296459,1,3,0,True,True,completed
patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19403_ignition_CWF005_20200501.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19403_ignition_CWF005_20200501.npz,0.97169757,1,0.83742446,1,3,0,True,True,completed
patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19404_ignition_PWF005_20200315.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19404_ignition_PWF005_20200315.npz,0.99999988,1,0.93221462,1,3,0,True,True,completed
patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19453_ignition_RWF011_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19453_ignition_RWF011_20200505.npz,0.95020926,1,0.87374872,1,3,0,True,True,completed
patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19456_ignition_HWF008_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19456_ignition_HWF008_20200506.npz,0.99126834,1,0.95056468,1,3,0,True,True,completed
patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19458_ignition_GWF010_20200506.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19458_ignition_GWF010_20200506.npz,0.65653288,1,0.64845824,1,3,0,True,True,completed
patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19489_ignition_LWF010_20200115.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19489_ignition_LWF010_20200115.npz,1.00000000,1,0.98662424,1,3,0,True,True,completed
patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19490_ignition_LWF054_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19490_ignition_LWF054_20200507.npz,0.99880314,1,0.95437294,1,3,0,True,True,completed
patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19509_ignition_LWF018_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19509_ignition_LWF018_20200429.npz,0.99999964,1,0.96326661,1,3,0,True,True,completed
patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19539_ignition_CWF020_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19539_ignition_CWF020_20200518.npz,0.98184264,1,0.85463166,1,3,0,True,True,completed
patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19560_ignition_LWF044_20200505.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19560_ignition_LWF044_20200505.npz,0.83217865,1,0.78336060,1,3,0,True,True,completed
patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19586_ignition_RWF026_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19586_ignition_RWF026_20200520.npz,0.99354547,1,0.92725152,1,3,0,True,True,completed
patch_19618_ignition_RWF014_20200514.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19618_ignition_RWF014_20200514.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19618_ignition_RWF014_20200514.npz,0.54729301,1,0.74310720,1,3,0,True,True,completed
patch_19622_ignition_RWF017_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19622_ignition_RWF017_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19622_ignition_RWF017_20200515.npz,0.97938442,1,0.83566791,1,3,0,True,True,completed
patch_19624_ignition_CWF014_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19624_ignition_CWF014_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19624_ignition_CWF014_20200516.npz,0.96467364,1,0.80560350,1,3,0,True,True,completed
patch_19645_ignition_PWF022_20200611.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19645_ignition_PWF022_20200611.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19645_ignition_PWF022_20200611.npz,0.89463305,1,0.79139400,1,3,0,True,True,completed
patch_19666_ignition_PWF018_20200510.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19666_ignition_PWF018_20200510.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19666_ignition_PWF018_20200510.npz,0.41642138,1,0.81631929,1,3,0,True,True,completed
patch_19672_ignition_EWF016_20200519.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19672_ignition_EWF016_20200519.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19672_ignition_EWF016_20200519.npz,0.66214627,1,0.78280973,1,3,0,True,True,completed
patch_19743_ignition_CWF047_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19743_ignition_CWF047_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19743_ignition_CWF047_20200507.npz,0.72784901,1,0.84007847,1,3,0,True,True,completed
patch_19766_ignition_HWF023_20200612.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19766_ignition_HWF023_20200612.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19766_ignition_HWF023_20200612.npz,0.44636229,1,0.70700502,1,3,0,True,True,completed
patch_19770_ignition_MWF017_20200727.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19770_ignition_MWF017_20200727.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19770_ignition_MWF017_20200727.npz,0.99888951,1,0.94040084,1,3,0,True,True,completed
patch_19779_ignition_EWF037_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19779_ignition_EWF037_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19779_ignition_EWF037_20200806.npz,0.98511648,1,0.86582297,1,3,0,True,True,completed
patch_19799_ignition_WWF026_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19799_ignition_WWF026_20200806.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19799_ignition_WWF026_20200806.npz,0.46433461,1,0.59089118,1,3,0,True,True,completed
patch_19852_ignition_HWF030_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19852_ignition_HWF030_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19852_ignition_HWF030_20200627.npz,0.61888748,1,0.70289791,1,3,0,True,True,completed
patch_19853_ignition_HWF031_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19853_ignition_HWF031_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19853_ignition_HWF031_20200627.npz,0.91597307,1,0.80762088,1,3,0,True,True,completed
patch_19885_ignition_SWF055_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19885_ignition_SWF055_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19885_ignition_SWF055_20200818.npz,0.99999964,1,0.99148005,1,3,0,True,True,completed
patch_19901_ignition_EWF029_20200728.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19901_ignition_EWF029_20200728.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19901_ignition_EWF029_20200728.npz,0.95048302,1,0.84779888,1,3,0,True,True,completed
patch_19907_ignition_SWF059_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19907_ignition_SWF059_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19907_ignition_SWF059_20200818.npz,0.96203738,1,0.86712724,1,3,0,True,True,completed
patch_19950_ignition_PWF024_20200620.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19950_ignition_PWF024_20200620.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19950_ignition_PWF024_20200620.npz,0.92160136,1,0.73563755,1,3,0,True,True,completed
patch_19954_ignition_CWF118_20200816.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19954_ignition_CWF118_20200816.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19954_ignition_CWF118_20200816.npz,0.99335432,1,0.94803208,1,3,0,True,True,completed
patch_19955_ignition_RWF039_20200817.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19955_ignition_RWF039_20200817.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19955_ignition_RWF039_20200817.npz,0.98047996,1,0.82811421,1,3,0,True,True,completed
patch_19957_ignition_PWF040_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19957_ignition_PWF040_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19957_ignition_PWF040_20200818.npz,0.81833190,1,0.77110404,1,3,0,True,True,completed
patch_19959_ignition_PWF043_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19959_ignition_PWF043_20200818.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19959_ignition_PWF043_20200818.npz,0.58362693,1,0.71030766,1,3,0,True,True,completed
patch_19988_ignition_CWF097_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19988_ignition_CWF097_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19988_ignition_CWF097_20200808.npz,0.98765135,1,0.93245310,1,3,0,True,True,completed
patch_19990_ignition_CWF099_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_19990_ignition_CWF099_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_19990_ignition_CWF099_20200808.npz,0.95924729,1,0.87812722,1,3,0,True,True,completed
patch_20055_ignition_HWF046_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20055_ignition_HWF046_20200808.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20055_ignition_HWF046_20200808.npz,0.91524446,1,0.89583617,1,3,0,True,True,completed
patch_20057_ignition_CWF113_20200815.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20057_ignition_CWF113_20200815.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20057_ignition_CWF113_20200815.npz,0.99056190,1,0.95365137,1,3,0,True,True,completed
patch_20087_ignition_MWF002_20200307.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20087_ignition_MWF002_20200307.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20087_ignition_MWF002_20200307.npz,0.98156619,1,0.94534832,1,3,0,True,True,completed
patch_20125_ignition_EWF003_20200422.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20125_ignition_EWF003_20200422.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20125_ignition_EWF003_20200422.npz,0.92987984,1,0.76847357,1,3,0,True,True,completed
patch_20126_ignition_EWF004_20200423.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20126_ignition_EWF004_20200423.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20126_ignition_EWF004_20200423.npz,0.91263616,1,0.77485687,1,3,0,True,True,completed
patch_20222_ignition_WWF019_20200619.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20222_ignition_WWF019_20200619.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20222_ignition_WWF019_20200619.npz,0.78619045,1,0.81751138,1,3,0,True,True,completed
patch_20276_ignition_CWF055_20200705.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20276_ignition_CWF055_20200705.npz,,0.03650111,0,,,3,0,True,,blocked_by_model_b
patch_20277_ignition_RWF031_20200705.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20277_ignition_RWF031_20200705.npz,,0.01409574,0,,,3,0,True,,blocked_by_model_b
patch_20353_ignition_SWF003_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20353_ignition_SWF003_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20353_ignition_SWF003_20200426.npz,0.96101463,1,0.78526270,1,3,0,True,True,completed
patch_20355_ignition_GWF006_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20355_ignition_GWF006_20200429.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20355_ignition_GWF006_20200429.npz,0.99995840,1,0.83449042,1,3,0,True,True,completed
patch_20388_ignition_LWF027_20200503.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20388_ignition_LWF027_20200503.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20388_ignition_LWF027_20200503.npz,0.71815085,1,0.71973318,1,3,0,True,True,completed
patch_20392_ignition_MWF004_20200507.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20392_ignition_MWF004_20200507.npz,,0.04545745,0,,,3,0,True,,blocked_by_model_b
patch_20393_ignition_LWF055_20200508.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20393_ignition_LWF055_20200508.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20393_ignition_LWF055_20200508.npz,0.67506951,1,0.72445863,1,3,0,True,True,completed
patch_20399_ignition_CWF008_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20399_ignition_CWF008_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20399_ignition_CWF008_20200515.npz,0.91356087,1,0.87641746,1,3,0,True,True,completed
patch_20419_ignition_PWF010_20200512.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20419_ignition_PWF010_20200512.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20419_ignition_PWF010_20200512.npz,0.75417620,1,0.80673844,1,3,0,True,True,completed
patch_20424_ignition_CWF062_20200729.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20424_ignition_CWF062_20200729.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20424_ignition_CWF062_20200729.npz,0.94410640,1,0.88534719,1,3,0,True,True,completed
patch_20431_ignition_CWF075_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20431_ignition_CWF075_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20431_ignition_CWF075_20200803.npz,0.93513519,1,0.88738477,1,3,0,True,True,completed
patch_20441_ignition_CWF010_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20441_ignition_CWF010_20200515.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20441_ignition_CWF010_20200515.npz,0.96162945,1,0.89665234,1,3,0,True,True,completed
patch_20443_ignition_WWF012_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20443_ignition_WWF012_20200516.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20443_ignition_WWF012_20200516.npz,0.96533781,1,0.86955309,1,3,0,True,True,completed
patch_20463_ignition_LWF074_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20463_ignition_LWF074_20200520.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20463_ignition_LWF074_20200520.npz,0.65876645,1,0.82758754,1,3,0,True,True,completed
patch_20467_ignition_MWF016_20200720.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20467_ignition_MWF016_20200720.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20467_ignition_MWF016_20200720.npz,0.88850862,1,0.86399543,1,3,0,True,True,completed
patch_20505_ignition_HWF042_20200802.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20505_ignition_HWF042_20200802.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20505_ignition_HWF042_20200802.npz,0.79743564,1,0.76239067,1,3,0,True,True,completed
patch_20561_ignition_PWF025_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20561_ignition_PWF025_20200627.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20561_ignition_PWF025_20200627.npz,0.49463606,1,0.73098701,1,3,0,True,True,completed
patch_20582_ignition_LWF035_20200504.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20582_ignition_LWF035_20200504.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20582_ignition_LWF035_20200504.npz,0.76172626,1,0.79206467,1,3,0,True,True,completed
patch_20587_ignition_SWF028_20200601.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20587_ignition_SWF028_20200601.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20587_ignition_SWF028_20200601.npz,0.98235428,1,0.83604980,1,3,0,True,True,completed
patch_20601_ignition_PWF028_20200702.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20601_ignition_PWF028_20200702.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20601_ignition_PWF028_20200702.npz,0.68461841,1,0.55928791,1,3,0,True,True,completed
patch_20602_ignition_CWF040_20200705.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20602_ignition_CWF040_20200705.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20602_ignition_CWF040_20200705.npz,0.86263043,1,0.78493983,1,3,0,True,True,completed
patch_20656_ignition_CWF027_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20656_ignition_CWF027_20200518.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20656_ignition_CWF027_20200518.npz,0.83676994,1,0.75611621,1,3,0,True,True,completed
patch_20680_ignition_EWF007_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20680_ignition_EWF007_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20680_ignition_EWF007_20200426.npz,0.55403680,1,0.78236496,1,3,0,True,True,completed
patch_20685_ignition_GWF033_20200731.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20685_ignition_GWF033_20200731.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20685_ignition_GWF033_20200731.npz,0.76877707,1,0.78448105,1,3,0,True,True,completed
patch_20686_ignition_LWF089_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20686_ignition_LWF089_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20686_ignition_LWF089_20200803.npz,0.75260526,1,0.73747063,1,3,0,True,True,completed
patch_20694_ignition_CWF085_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20694_ignition_CWF085_20200803.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20694_ignition_CWF085_20200803.npz,0.98261952,1,0.88091379,1,3,0,True,True,completed
patch_20724_ignition_EWF025_20200712.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20724_ignition_EWF025_20200712.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20724_ignition_EWF025_20200712.npz,0.89734679,1,0.85438347,1,3,0,True,True,completed
patch_20734_ignition_GWF004_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20734_ignition_GWF004_20200426.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20734_ignition_GWF004_20200426.npz,0.52293646,1,0.63481575,1,3,0,True,True,completed
patch_20736_ignition_LWF036_20200504.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_1km/patch_20736_ignition_LWF036_20200504.npz,/mnt/work/wildfire/test_sets/paired_negative_heavy_25m/patch_20736_ignition_LWF036_20200504.npz,0.99858499,1,0.93502361,1,3,0,True,True,completed
