filename,path_1km,path_25m,model_b_max_prob,model_b_passed,model_a_max_prob,model_a_positive_pixels,final_positive,label_1km_positive,label_25m_positive,status
patch_19366_ignition_LWF064_20200515.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19366_ignition_LWF064_20200515.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19366_ignition_LWF064_20200515.npz,0.99985063,1,0.95360851,1,1,True,True,completed
patch_19367_ignition_GWF016_20200528.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19367_ignition_GWF016_20200528.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19367_ignition_GWF016_20200528.npz,0.97833198,1,0.92471319,1,1,True,True,completed
patch_19368_ignition_SWF031_20200602.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19368_ignition_SWF031_20200602.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19368_ignition_SWF031_20200602.npz,0.99912864,1,0.91654915,1,1,True,True,completed
patch_19384_ignition_HWF018_20200526.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19384_ignition_HWF018_20200526.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19384_ignition_HWF018_20200526.npz,0.43022975,1,0.53469688,1,1,True,True,completed
patch_19385_ignition_RWF028_20200530.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19385_ignition_RWF028_20200530.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19385_ignition_RWF028_20200530.npz,0.99928081,1,0.87561566,1,1,True,True,completed
patch_19386_ignition_RWF029_20200529.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19386_ignition_RWF029_20200529.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19386_ignition_RWF029_20200529.npz,0.99804950,1,0.90170437,1,1,True,True,completed
patch_19387_ignition_SWF034_20200611.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19387_ignition_SWF034_20200611.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19387_ignition_SWF034_20200611.npz,0.98955512,1,0.87164068,1,1,True,True,completed
patch_19391_ignition_LWF007_20200422.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19391_ignition_LWF007_20200422.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19391_ignition_LWF007_20200422.npz,0.99967831,1,0.87514967,1,1,True,True,completed
patch_19392_ignition_LWF008_20200423.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19392_ignition_LWF008_20200423.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19392_ignition_LWF008_20200423.npz,0.99957258,1,0.94801861,1,1,True,True,completed
patch_19393_ignition_CWF002_20200426.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19393_ignition_CWF002_20200426.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19393_ignition_CWF002_20200426.npz,0.92813855,1,0.95243996,1,1,True,True,completed
patch_19394_ignition_CWF003_20200426.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19394_ignition_CWF003_20200426.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19394_ignition_CWF003_20200426.npz,0.93136156,1,0.95417571,1,1,True,True,completed
patch_19395_ignition_CWF004_20200426.npz,/mnt/work/wildfire/1km/patches_1km_balanced/val/patch_19395_ignition_CWF004_20200426.npz,/mnt/work/wildfire/25m/patches_25m_balanced/val/patch_19395_ignition_CWF004_20200426.npz,0.97010177,1,0.93324077,1,1,True,True,completed
